Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,0.56,57.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,0.58,74.83
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,0.58,59.18
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,0.54,56.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,0.56,78.77
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,0.57,61.22
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,0.57,47.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,0.57,48.94
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,0.55,77.26
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,1.05,66.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,1.08,70.49
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,1.09,53.33
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,1.08,64.25
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,1.17,62.78
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,1.11,63.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,1.08,66.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,1.08,58.60
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,1.10,66.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,1.12,56.64
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,2.77,83.37
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,2.71,90.68
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,2.62,77.71
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,2.71,72.11
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,2.63,80.97
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,2.63,95.67
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,2.68,78.19
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,2.69,79.32
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,2.69,65.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,2.67,82.86
