condition,model,x,y
Ca_wave_simple_SERCA_SOCE,2.4,1.170,1.51
Ca_wave_simple_SERCA_SOCE,2.4,1.170,2.02
Ca_wave_simple_SERCA_SOCE,2.4,1.170,2.02
Ca_wave_simple_SERCA_SOCE,2.4,1.170,2.52
Ca_wave_simple_SERCA_SOCE,2.4,1.170,2.02
Ca_wave_simple_SERCA_SOCE,2.4,1.170,2.02
Ca_wave_simple_SERCA_SOCE,2.4,1.170,2.02
Ca_wave_simple_SERCA_SOCE,2.4,2.717,4.04
Ca_wave_simple_SERCA_SOCE,2.4,2.717,4.04
Ca_wave_simple_SERCA_SOCE,2.4,2.717,4.54
Ca_wave_simple_SERCA_SOCE,2.4,2.717,4.04
Ca_wave_simple_SERCA_SOCE,2.4,2.717,4.04
Ca_wave_simple_SERCA_SOCE,2.4,2.717,3.53
Ca_wave_simple_SERCA_SOCE,2.4,2.717,3.53
Ca_wave_simple_SERCA_SOCE,2.4,2.717,4.04
Ca_wave_simple_SERCA_SOCE,2.4,2.717,4.04
Ca_wave_simple_SERCA_SOCE,2.4,2.717,4.54
Ca_wave_simple_SERCA_SOCE,2.4,4.809,6.56
Ca_wave_simple_SERCA_SOCE,2.4,4.809,6.56
Ca_wave_simple_SERCA_SOCE,2.4,4.809,5.55
Ca_wave_simple_SERCA_SOCE,2.4,4.809,6.06
Ca_wave_simple_SERCA_SOCE,2.4,4.809,6.06
Ca_wave_simple_SERCA_SOCE,2.4,4.809,6.06
Ca_wave_simple_SERCA_SOCE,2.4,4.809,6.06
Ca_wave_simple_SERCA_SOCE,2.4,4.809,5.55
Ca_wave_simple_SERCA_SOCE,2.4,4.809,5.05
Ca_wave_simple_SERCA_SOCE,2.4,4.809,6.56
Ca_wave_simple_SERCA_SOCE,2.4,7.540,11.61
Ca_wave_simple_SERCA_SOCE,2.4,7.540,12.12
Ca_wave_simple_SERCA_SOCE,2.4,7.540,11.11
Ca_wave_simple_SERCA_SOCE,2.4,7.540,12.62
Ca_wave_simple_SERCA_SOCE,2.4,7.540,11.11
Ca_wave_simple_SERCA_SOCE,2.4,7.540,14.14
Ca_wave_simple_SERCA_SOCE,2.4,7.540,11.61
Ca_wave_simple_SERCA_SOCE,2.4,7.540,12.12
Ca_wave_simple_SERCA_SOCE,2.4,7.540,10.10
Ca_wave_simple_SERCA_SOCE,2.4,7.540,11.11
Ca_wave_simple_SERCA_SOCE,6.0,0.444,0.50
Ca_wave_simple_SERCA_SOCE,6.0,0.444,0.50
Ca_wave_simple_SERCA_SOCE,6.0,0.444,0.50
Ca_wave_simple_SERCA_SOCE,6.0,0.444,0.50
Ca_wave_simple_SERCA_SOCE,6.0,0.444,1.01
Ca_wave_simple_SERCA_SOCE,6.0,0.444,1.01
Ca_wave_simple_SERCA_SOCE,6.0,0.444,1.01
Ca_wave_simple_SERCA_SOCE,6.0,0.444,0.50
Ca_wave_simple_SERCA_SOCE,6.0,0.444,0.50
Ca_wave_simple_SERCA_SOCE,6.0,0.444,0.50
Ca_wave_simple_SERCA_SOCE,6.0,1.029,1.51
Ca_wave_simple_SERCA_SOCE,6.0,1.029,1.51
Ca_wave_simple_SERCA_SOCE,6.0,1.029,1.51
Ca_wave_simple_SERCA_SOCE,6.0,1.029,1.51
Ca_wave_simple_SERCA_SOCE,6.0,1.029,1.51
Ca_wave_simple_SERCA_SOCE,6.0,1.029,1.01
Ca_wave_simple_SERCA_SOCE,6.0,1.029,1.51
Ca_wave_simple_SERCA_SOCE,6.0,1.029,1.01
Ca_wave_simple_SERCA_SOCE,6.0,1.029,1.51
Ca_wave_simple_SERCA_SOCE,6.0,1.029,1.01
Ca_wave_simple_SERCA_SOCE,6.0,2.717,4.54
Ca_wave_simple_SERCA_SOCE,6.0,2.717,4.54
Ca_wave_simple_SERCA_SOCE,6.0,2.717,8.08
Ca_wave_simple_SERCA_SOCE,6.0,2.717,4.54
Ca_wave_simple_SERCA_SOCE,6.0,2.717,3.03
