condition,model,x,y
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0700,51.02
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0700,54.62
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0700,56.05
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0700,55.42
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0700,58.29
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0700,55.86
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0700,55.19
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,1050,58.96
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,1050,59.13
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,1050,59.78
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,1050,61.14
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,1050,61.20
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,1050,60.41
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,1050,60.27
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,1050,59.48
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,1050,61.57
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,1050,61.14
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,2000,64.39
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,2000,64.18
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,2000,63.10
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,2000,62.11
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,2000,64.69
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,2000,62.91
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,2000,63.03
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,2000,63.44
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,2000,62.18
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,2000,63.67
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0175,58.61
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0175,53.29
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0175,47.25
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0175,48.10
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0175,53.56
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0175,45.75
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0175,75.32
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0175,44.08
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0175,64.17
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0175,59.09
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0350,47.44
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0350,58.32
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0350,61.51
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0350,66.32
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0350,50.21
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0350,63.97
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0350,61.64
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0350,51.13
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0350,52.63
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0350,61.06
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0700,54.87
Ca_wave_no_RyR_simple_SERCA_SOCE,2.4,0700,59.11
